start
[79.436, 0.686, 12.873, 0.561, 1.384, 2.092, 2.967]
[79.436, 0.686, 12.873, 0.561, 1.384, 2.092, 2.967]
[79.436, 0.686, 12.873, 0.561, 1.384, 2.092, 2.967]
[89.118, 0.524, 5.326, 2.675, 1.311, 0.524, 0.524]
[89.118, 0.524, 5.326, 2.675, 1.311, 0.524, 0.524]
[58.848, 1.544, 8.975, 12.051, 8.025, 7.872, 2.686]
[58.848, 1.544, 8.975, 12.051, 8.025, 7.872, 2.686]
[58.848, 1.544, 8.975, 12.051, 8.025, 7.872, 2.686]
[56.41, 0.855, 2.469, 13.393, 2.774, 8.784, 15.314]
[56.41, 0.855, 2.469, 13.393, 2.774, 8.784, 15.314]
[56.41, 0.855, 2.469, 13.393, 2.774, 8.784, 15.314]
[56.41, 0.855, 2.469, 13.393, 2.774, 8.784, 15.314]
[81.617, 0.262, 3.76, 1.77, 1.677, 5.808, 5.106]
[81.617, 0.262, 3.76, 1.77, 1.677, 5.808, 5.106]
[81.617, 0.262, 3.76, 1.77, 1.677, 5.808, 5.106]
[80.036, 0.481, 11.201, 1.015, 4.47, 2.498, 0.3]
[80.036, 0.481, 11.201, 1.015, 4.47, 2.498, 0.3]
[83.305, 0.313, 12.086, 0.783, 2.308, 1.08, 0.125]
[83.305, 0.313, 12.086, 0.783, 2.308, 1.08, 0.125]
[83.305, 0.313, 12.086, 0.783, 2.308, 1.08, 0.125]
[87.001, 0.26, 7.755, 0.799, 2.596, 1.358, 0.231]
[90.732, 0.159, 2.222, 2.732, 2.582, 1.039, 0.534]
[90.732, 0.159, 2.222, 2.732, 2.582, 1.039, 0.534]
[90.732, 0.159, 2.222, 2.732, 2.582, 1.039, 0.534]
[90.732, 0.159, 2.222, 2.732, 2.582, 1.039, 0.534]
[91.551, 0.129, 3.623, 1.675, 1.848, 0.86, 0.314]
[89.543, 0.148, 4.411, 1.867, 1.597, 1.746, 0.688]
[89.543, 0.148, 4.411, 1.867, 1.597, 1.746, 0.688]
[89.543, 0.148, 4.411, 1.867, 1.597, 1.746, 0.688]
[84.097, 0.214, 6.525, 0.881, 1.862, 3.933, 2.489]
[84.097, 0.214, 6.525, 0.881, 1.862, 3.933, 2.489]
[86.271, 0.165, 4.807, 1.69, 2.635, 2.54, 1.893]
[86.271, 0.165, 4.807, 1.69, 2.635, 2.54, 1.893]
[43.397, 0.501, 24.902, 3.537, 12.23, 7.229, 8.204]
[7.848, 6.445, 6.445, 38.042, 21.532, 6.445, 13.244]
[11.047, 2.799, 13.418, 45.589, 20.697, 3.65, 2.799]
[21.254, 0.444, 71.974, 1.079, 1.659, 1.322, 2.268]
[18.072, 0.419, 75.792, 0.851, 1.899, 0.955, 2.011]
[18.072, 0.419, 75.792, 0.851, 1.899, 0.955, 2.011]
[27.048, 0.376, 63.678, 0.37, 2.258, 4.18, 2.09]
[27.048, 0.376, 63.678, 0.37, 2.258, 4.18, 2.09]
[67.3, 1.339, 3.203, 8.791, 4.766, 5.122, 9.478]
[56.551, 8.742, 4.724, 3.21, 5.792, 7.867, 13.115]
[56.551, 8.742, 4.724, 3.21, 5.792, 7.867, 13.115]
[56.551, 8.742, 4.724, 3.21, 5.792, 7.867, 13.115]
[0.557, 92.938, 2.16, 0.196, 1.372, 2.503, 0.275]
[0.084, 99.104, 0.219, 0.084, 0.201, 0.224, 0.084]
[0.084, 99.104, 0.219, 0.084, 0.201, 0.224, 0.084]
